FID,X,Y,SOC,Precipitation,Temperature,Elevation,Slope,Soiltype,Green,Red,SWIR1,BSI,EVI,GNDVI,GSAVI,NDVI,NMDI,SAVI
0,301479,2791775,3.5,0.878219694,0.739952148,0.091596736,0.658601644,2,0.888224367,0.746389584,0.293805387,0.152227038,0.488172576,0.244925789,0.644536855,0.197699472,0.943532506,0.237670214
1,297174,2784258,4.66,0.717817395,0.389664067,0.214144022,0.370965594,4,0.083017025,0.215131604,0.790390702,0.282398033,0.524829657,0.606892019,0.808538212,0.258552466,0.359421033,0.586617429
2,290795,2780766,3.73,0.439367049,0.326518681,0.631846097,0.508195993,5,0.942687293,0.839417146,0.380582212,0.985804737,0.372500419,0.876038408,0.581495692,0.568410792,0.784805412,0.628909517
3,267830,2775000,0.83,0.851384284,0.183186913,0.167289107,0.387517297,2,0.956080897,0.430328536,0.452642994,0.490216223,0.644572827,0.367966558,0.327584363,0.602548752,0.591278185,0.717435166
4,278421,2771114,2.81,0.564810629,0.957392469,0.003501591,0.093943455,3,0.460419621,0.787534703,0.522519234,0.439374257,0.910748368,0.846543044,0.194728076,0.678357575,0.294328561,0.993894694
5,268995,2770196,1.98,0.009007651,0.991553552,0.610530128,0.528962752,1,0.858002422,0.403615339,0.904560435,0.486846258,0.65389419,0.844148795,0.335006326,0.023545016,0.922725686,0.627654275
6,279237,2767455,4.9,0.028613559,0.164846248,0.082487377,0.135956482,4,0.974425732,0.819764862,0.842590095,0.889538333,0.938443625,0.76518978,0.481327719,0.109022593,0.869331545,0.707004915
7,259808,2768103,5.11,0.358698303,0.509634157,0.442563837,0.227965931,5,0.878791468,0.013643415,0.1169424,0.560024745,0.940885718,0.970739814,0.368364272,0.629008003,0.364138426,0.620985388
8,258943,2763895,2.89,0.096581181,0.620941006,0.773462829,0.083592928,1,0.904149807,0.884466239,0.440317169,0.300162896,0.391414853,0.979859353,0.951132285,0.653299265,0.973176815,0.356901916
9,252999,2763005,2.35,0.521737132,0.777748315,0.080580164,0.634021875,1,0.076165741,0.150605475,0.0517419,0.684791229,0.581221194,0.637859053,0.529641265,0.157108146,0.224524331,0.681381309
10,253541,2762659,4.05,0.33571776,0.029987777,0.592459781,0.527410667,1,0.578260658,0.942835419,0.821030601,0.540427464,0.494925693,0.758824018,0.875484789,0.333024697,0.805495868,0.621304629
11,270947,2763005,5.59,0.757571981,0.017502889,0.778214762,0.151962389,5,0.962414502,0.002868495,0.721819977,0.126476953,0.769361351,0.011087926,0.310634813,0.009825418,0.680896231,0.400884971
12,271394,2762521,2.62,0.143183469,0.95000752,0.740930954,0.849962991,1,0.032160605,0.408136316,0.740751569,0.466319596,0.987196879,0.993843797,0.024606312,0.385334493,0.471060521,0.669850905
13,277389,2761830,3.33,0.046424755,0.282059784,0.640986633,0.795345383,5,0.536866875,0.425410525,0.458514994,0.053640336,0.398199018,0.979973269,0.737160705,0.994107116,0.030805471,0.244052747
14,261116,2760918,4.26,0.918057129,0.928998358,0.432068272,0.349222643,4,0.506899876,0.355710317,0.222387516,0.238695164,0.469330313,0.125952273,0.265136183,0.117568013,0.894798203,0.682597023
15,262845,2760585,5.73,0.258667223,0.26447403,0.846630379,0.798868439,2,0.65175183,0.50140344,0.070359703,0.458309678,0.450280545,0.254289601,0.035394296,0.567936865,0.573632524,0.584340602
16,249961,2758966,1.15,0.102477261,0.612749181,0.492924441,0.175259569,1,0.182735739,0.321402352,0.003731265,0.621419453,0.771435394,0.519676595,0.705161547,0.27980343,0.390308258,0.689254461
17,268816,2759226,3.85,0.021215212,0.012575359,0.524043711,0.852981099,5,0.946692757,0.671615047,0.320569218,0.505890123,0.670787516,0.786830405,0.522624496,0.534050981,0.354679037,0.280173439
18,248199,2757805,2.31,0.517848638,0.151481152,0.865067594,0.766755746,1,0.759417361,0.239823829,0.894652139,0.381025008,0.91791468,0.631392262,0.483008003,0.42430973,0.651973019,0.496210002
19,259622,2756970,3.2,0.010665613,0.531594424,0.657362238,0.68194696,5,0.659293777,0.317990422,0.079953803,0.378174251,0.433306983,0.781755008,0.340539815,0.522676143,0.347028425,0.599761921
20,260645,2757308,2.85,0.799266667,0.714248837,0.195629793,0.422176748,3,0.987654498,0.507642118,0.505797663,0.297450857,0.680367446,0.885616804,0.57301434,0.047742382,0.507579908,0.361577083
21,261086,2755398,3.25,0.656156234,0.822080021,0.291401352,0.205827009,3,0.946445274,0.445542548,0.910700126,0.499566318,0.707431039,0.726383279,0.491901201,0.637718932,0.370935703,0.674458308
22,255416,2753319,3.39,0.104551386,0.585972539,0.588827082,0.69614083,1,0.520444102,0.692107457,0.564700742,0.622844853,0.460349156,0.666808926,0.111247673,0.839893467,0.055202854,0.023412941
23,258365,2753942,3.02,0.300331353,0.66604915,0.424448551,0.249634073,3,0.253120286,0.050180002,0.866834957,0.665797852,0.155957526,0.73097973,0.982141611,0.830698562,0.2504092,0.058698952
24,270539,2748286,1.74,0.292139197,0.64855226,0.46331136,0.298851267,2,0.505779599,0.357431579,0.676848852,0.420773521,0.017647993,0.396214426,0.707066199,0.631345671,0.840963038,0.89130507
25,330657,2748774,2.96,0.782864784,0.814608424,0.892082952,0.772807433,4,0.739535822,0.158221044,0.909795512,0.16420288,0.595086568,0.771744869,0.386404238,0.628876273,0.818154415,0.740789532
26,251702,2743889,2.16,0.383557353,0.843098605,0.840807122,0.673684576,4,0.639519346,0.607389488,0.193721885,0.369108616,0.908040199,0.861887921,0.416078109,0.019868814,0.667325426,0.251809353
27,331239,2742653,2.48,0.278623555,0.040682668,0.396450488,0.513521623,1,0.843217196,0.693730186,0.752159034,0.295914855,0.028873423,0.00036664,0.06160844,0.564512154,0.470587591,0.697355675
28,330351,2742926,2.15,0.50176494,0.318776754,0.635428574,0.378325802,4,0.163063601,0.147430987,0.293683676,0.144443826,0.555892315,0.945338726,0.34585638,0.157330218,0.969844493,0.903391589
29,252836,2742622,2.16,0.859486435,0.610435481,0.764569691,0.838188287,5,0.154830008,0.980761401,0.077828498,0.780732411,0.239414857,0.420891571,0.389417171,0.282381826,0.840260754,0.099184013
30,265938,2741765,2.11,0.852592954,0.352352698,0.225180807,0.769746377,1,0.605167678,0.007593573,0.216023164,0.983760727,0.925542823,0.691259778,0.690701982,0.306303606,0.245067461,0.658209487
31,267506,2740744,0.57,0.302110772,0.548700849,0.591565513,0.0312456,4,0.563545465,0.167371174,0.739156334,0.810898585,0.839989991,0.113369288,0.631230439,0.19103063,0.567547089,0.369149278
32,322443,2741060,1.95,0.213853962,0.043446064,0.532812303,0.592651075,3,0.922283664,0.78367181,0.616916219,0.760842909,0.976500575,0.590446541,0.813175457,0.687001352,0.955951247,0.720000838
33,330509,2740155,2.03,0.092484607,0.79110768,0.056703519,0.915830657,5,0.000810249,0.627710848,0.898950184,0.314908813,0.921884921,0.957422279,0.490797709,0.657699044,0.785617565,0.438885806
34,317537,2736592,2.65,0.272531298,0.969086885,0.315020135,0.145172688,2,0.664501858,0.436534593,0.653999808,0.620835665,0.523925046,0.978607968,0.357008026,0.837768146,0.36935028,0.213343085
35,326439,2736788,2.81,0.95080857,0.767770633,0.150684776,0.733605291,1,0.138144213,0.521656448,0.19802888,0.704456852,0.073700407,0.225909488,0.064560954,0.30972724,0.469923666,0.895489059
36,330364,2733186,2.04,0.166823871,0.830990068,0.977279478,0.46487129,4,0.845070386,0.313852356,0.106712816,0.375914552,0.98201949,0.307360698,0.201010164,0.882210132,0.517826827,0.148850955
37,238774,2733038,2.86,0.674819446,0.237422617,0.938492232,0.727977757,4,0.394142869,0.158358485,0.497303462,0.096909925,0.177360406,0.832725028,0.129012004,0.568138415,0.901893402,0.193033318
38,319406,2730861,1.44,0.897339471,0.277132141,0.035637468,0.38263757,3,0.851910032,0.646525479,0.2427925,0.734752199,0.498754873,0.222744811,0.873017924,0.257818754,0.714295546,0.05469751
39,261372,2729414,4.47,0.83320972,0.300122803,0.145776996,0.082030489,2,0.002983836,0.456781225,0.826281815,0.257185279,0.578554574,0.995970081,0.925821278,0.615736044,0.398137924,0.535763048
40,321785,2728758,0.91,0.572255519,0.956359113,0.501097323,0.663081435,4,0.378197243,0.747197763,0.295065222,0.936263455,0.84035716,0.958250747,0.759498356,0.922636568,0.46204135,0.705135354
41,322166,2727625,0.85,0.220611792,0.040747325,0.7648811,0.041615849,3,0.66384219,0.653090947,0.867198786,0.264186629,0.813428779,0.668857734,0.108729625,0.776678144,0.092309806,0.727000702
42,331795,2727615,1.58,0.908344812,0.314305929,0.882387386,0.721676793,3,0.144444695,0.502612559,0.34192092,0.258712507,0.060614391,0.786294488,0.884562787,0.342457546,0.492034958,0.948351568
43,232649,2727025,1.94,0.831857634,0.456705014,0.552061847,0.246041786,2,0.969580873,0.436542121,0.454793944,0.153510995,0.126303253,0.996241582,0.059266934,0.200880825,0.229022364,0.506857286
44,220747,2712813,5.75,0.32794174,0.178642636,0.235892612,0.629721903,3,0.831676269,0.842594657,0.094091919,0.113339364,0.712255197,0.075810877,0.444691234,0.746885713,0.093132028,0.082240653
45,218431,2709185,3.67,0.009766895,0.142209498,0.379572549,0.605266148,5,0.244257884,0.483012403,0.337950662,0.71398733,0.802971727,0.877266506,0.618904351,0.611723239,0.09127682,0.454668568
46,233191,2700254,4.44,0.024072412,0.10480273,0.449808787,0.633955901,1,0.12467536,0.556335301,0.6987767,0.580209756,0.863884733,0.331098256,0.163713074,0.837234062,0.21582546,0.375128471
47,282950,2694233,3.18,0.612620075,0.761084719,0.964802776,0.961945091,3,0.479561815,0.99186911,0.210987748,0.836379235,0.620363548,0.998476937,0.939275073,0.180984978,0.699126391,0.295815821
48,279627,2691853,4.96,0.882027755,0.635436263,0.629700657,0.751967544,4,0.068638381,0.604590238,0.760958556,0.05678467,0.296385325,0.142886405,0.046797141,0.635727392,0.179183225,0.468447808
49,228826,2689155,2.09,0.272223583,0.66442528,0.865963214,0.675298035,4,0.86974977,0.534954782,0.269173483,0.429228279,0.244929593,0.804387052,0.016761987,0.34283,0.568387158,0.145200639
50,242960,2687429,1.1,0.14639864,0.091228067,0.322900959,0.959162545,4,0.238389197,0.987672961,0.550402232,0.925193812,0.032115367,0.73331417,0.612101673,0.725043118,0.602619059,0.836527685
51,208670,2683532,2.62,0.90791328,0.602102932,0.758537001,0.596206924,3,0.188755671,0.90210674,0.546765654,0.769563391,0.831923964,0.505866376,0.050519298,0.528071085,0.966265427,0.896937673
52,274975,2682480,7.75,0.337851737,0.247678755,0.091540511,0.792448884,3,0.807763639,0.706756839,0.875186661,0.559631512,0.867618014,0.482854183,0.059591659,0.755130932,0.458199848,0.390954798
53,226934,2679621,2.2,0.115746012,0.810809406,0.559557198,0.348624296,4,0.405031642,0.684822609,0.631812487,0.724603407,0.462248342,0.452645869,0.671067081,0.963224679,0.774527311,0.008949575
54,211523,2679433,2.85,0.937972445,0.006104834,0.340793614,0.977231159,1,0.115935148,0.034691959,0.875546461,0.836767826,0.946382009,0.053016826,0.498446315,0.684712056,0.034894321,0.213981062
55,236016,2679128,1.62,0.746251725,0.42114907,0.599585143,0.791866808,5,0.849105728,0.405675767,0.264741391,0.462581641,0.829960042,0.323487583,0.552650585,0.658630676,0.644606619,0.145079994
56,212332,2678901,1.02,0.055376143,0.929846544,0.247297381,0.933477329,2,0.399270499,0.077083417,0.199230276,0.960988516,0.879348558,0.892215458,0.04124077,0.520201065,0.980303329,0.654829303
57,223217,2676712,1.53,0.874186278,0.790369668,0.549336485,0.876799544,4,0.453911391,0.73828374,0.523151768,0.266911199,0.329880979,0.112235139,0.463111828,0.006257304,0.047382795,0.963960761
58,234936,2674160,1.96,0.936914383,0.357565095,0.715537004,0.277992145,2,0.059784278,0.368946123,0.502043159,0.458870155,0.658603334,0.271629716,0.460320873,0.824287755,0.907649821,0.903675379
59,227842,2673678,1.89,0.601798167,0.480908196,0.056022114,0.84730282,3,0.570738301,0.760995369,0.109518255,0.758747498,0.061854305,0.457672861,0.006099342,0.154428805,0.155778365,0.777265214
60,227356,2673790,2.5,0.20281246,0.928126097,0.125430466,0.544798434,3,0.526470763,0.250424618,0.361777212,0.305893163,0.621549245,0.502030588,0.066961632,0.465010827,0.675248708,0.313873892
61,244962,2672799,0.98,0.481622878,0.846126669,0.374898709,0.221671967,3,0.134597283,0.272028906,0.537217067,0.56760732,0.875651784,0.65099056,0.51394327,0.517947368,0.025277921,0.565290253
62,242081,2672328,3.12,0.231738432,0.898400216,0.909654113,0.59186515,4,0.861141539,0.179293456,0.056939289,0.769201319,0.928101248,0.673212529,0.910363223,0.192692374,0.061465592,0.772483509
63,236245,2667739,4.85,0.522820367,0.99326861,0.490864747,0.643524577,5,0.963561353,0.25395788,0.482833228,0.792082752,0.107057019,0.943496361,0.880192316,0.733370069,0.134696656,0.345881146
