X,Y,Fold,SOC,Precipitation,Temperature,Elevation,Soiltype,Blue,Green,BSI,GNDVI,GSAVI,NBR,NDVI,NMDI,OSAVI,SAVI,NIR
234221,2722098,3,1.87,0.469673244,0.565775651,0.032400158,1,0.529869181,0.094819625,0.904275028,0.032837213,0.479730046,0.094149918,0.749900371,0.688599646,0.574252183,0.336369248,0.3462875
224649,2695048,4,3.43,0.447655298,0.984384155,0.970722324,5,0.356905424,0.605255058,0.866174941,0.138559919,0.49819305,0.634515001,0.750401345,0.397071905,0.470683328,0.438387923,0.443655908
225082,2695795,4,4.59,0.124056806,0.304297043,0.910775542,1,0.882388601,0.565269293,0.476443791,0.725072889,0.267579944,0.710175633,0.139450027,0.895839137,0.680109887,0.135686615,0.815755134
258840,2720853,3,2.12,0.754849981,0.564974775,0.302103447,4,0.858359593,0.375846213,0.03583033,0.433076684,0.754208296,0.233884094,0.336983546,0.996283998,0.682267506,0.521524824,0.687491681
239479,2722430,3,4.52,0.972988455,0.903235994,0.901006018,3,0.609548867,0.584506538,0.408126512,0.540590426,0.679350295,0.301845004,0.637928097,0.665709543,0.579057472,0.814861638,0.300425991
276270,2720255,3,1.82,0.083019797,0.86575769,0.222603514,1,0.73919297,0.07775126,0.579323347,0.054095845,0.094686604,0.827816371,0.340441711,0.797660277,0.641343591,0.260541461,0.440141738
239790,2707225,4,7.16,0.304308193,0.399716395,0.433925714,4,0.777213505,0.091837642,0.443000569,0.919939774,0.610983939,0.922467709,0.329280447,0.73011723,0.499609949,0.171868218,0.563510818
329442,2760291,1,3.13,0.796052683,0.10636601,0.442769838,1,0.150696678,0.389165649,0.223906538,0.480022295,0.779291891,0.977165548,0.548116925,0.988365728,0.555005772,0.860559705,0.836738814
348172,2768813,1,1.79,0.401090778,0.458353276,0.208888102,3,0.431475555,0.54123117,0.545642146,0.834552177,0.856456098,0.702122504,0.755639885,0.953369075,0.734750375,0.071283863,0.212398805
341999,2769858,1,3.35,0.982594981,0.963703611,0.181628351,1,0.593906806,0.315127757,0.026870584,0.657265999,0.885446101,0.208612241,0.733226539,0.681157313,0.373439091,0.649383094,0.91450277
